,0
6c231f101e665040912942268b6ef003,6496.0
c30a2474092ab045472dc4844742b3c2,4456.0
bae4ee50aa231e85edbbb7dae26231f2,3062.0
ab0184f9b865f34e92ea87ed83be9079,2908.0
d829bee4984f82ffc2453212157caf96,2692.0
39e332ccc7d5d759726845673f342d7e,2411.0
7876a5906e5be58d068237cd0b6ebb3c,2053.0
365c003ae4e22757411e391560253d8f,2011.0
62970cdab801fc6571c0935006126aaf,1476.0
3ab9e2c07e8e71f9ea238410200e0221,1394.0
f74a23038095f558d209d451c03c9b7e,1349.0
d67c365dce47104f34fc44ca059d411e,1342.0
2096277ac7d902d21c0a862b6168c002,1310.0
4171de65e980b92eb4fd4219e2c88697,1257.0
e4ee05bbf4ea42bb7404e560a5998628,1242.0
d8bdbb4d88ad5b3fe2106357539a53db,1204.0
09fb9a825ce15adbdb8cb2fc98de038b,1183.0
6472eb8b1e09f892aca2f23182962903,1178.0
68084402ba50c5318fb1062026beb58d,1115.0
b7210d2bf84501b2a1e826808465dfed,1096.0
f4bb0816d7a7fb888a87c59510684b96,1069.0
1e144753d4bf47774b2105a61548dca2,1011.0
b0546a8c6a38415c52d2dc916319d3fd,1003.0
37a0e117aa83c805b4fa33a83e4248b1,960.0
2d16d001e21717f960cf771ae879b1dd,927.0
d564a3f8e76f94f7a767be2d841b1aa1,920.0
8c32223db0634f9dd98dc7e604bec73c,903.0
6c5f4f9666d82b1bedf94e99acfe6741,902.0
60d16328bf858bfc71835f92bc9a604f,892.0
1975f0f2b6531e29f1c84e99f1b51ef8,890.0
f1fc45aae5d628307e6c30c41d17c892,872.0
e0047d38f3d730f4df8e528a10816041,868.0
4b889985310b8f81745444cb47d7c12d,866.0
009321e96e6433d38af66652ccd6dccc,859.0
3f63716fa427d49c0bbd57dbc601c12c,844.0
01407dff9187239ef65ae8514b77869f,837.0
cf7128ab9ec5fa33345fc6c82a0bedee,826.0
2df9d92f20826df33a1e2c6e0d91c1b3,820.0
5e54df3cfb0d1cf61ccd5e50d2b84a67,814.0
3271dbb002223e8b0ae18d052631e7b1,811.0
43c9e86409734b832125a67753d9b6ab,781.0
b4fde561026633c0289ea29b8d5be6c9,755.0
c3981c6343e58d3a2d812e8de7a02054,735.0
97c26f1db76867b29787ef3850f4864d,725.0
a4ace0baf476aaeaa88f1edb171f7395,702.0
cb80be4ac2def4c41b4338fe839038be,689.0
86f1248ee4ea85afd8c5b67cc1b04d4c,689.0
093dbcff1372d79fd828467dbbd5d9a7,679.0
6e105f3f79341d4c6ac024b928786898,676.0
54e920999a65a173d3fc598d9df4097f,676.0
90aca794c7e30b8a77e87f13ffc9a5cc,675.0
1aa15877c88c511f2c2bfb7de3bc2e51,652.0
fcf91d42b958eb6310923b2915feea1b,649.0
fadac207fabab50c75bf7be3aa51b266,636.0
448b014934fac079ece9065175ebb3a2,610.0
c4e563180f87051e5a59827677570f18,609.0
7b111c49de52d4fc561b3e2219ee640e,599.0
