	SRR1770793	SRR1770794	SRR1770797	SRR1770798	SRR1770804	SRR1770805	SRR1770806	SRR1770809	SRR1770812	SRR1770815	SRR1770818	SRR1770820
SRR1770793	0	0.5507950700626081	0.5514454843826043	0.5416377298492702	0.5690047815100506	0.5726121921025624	0.7315855926500134	0.7296118069236879	0.7274430624192924	0.7618543347648644	0.7859023922949027	0.8035700684762104
SRR1770794	0.5507950700626081	0	0.5612523655215033	0.5554202873911034	0.5904631344677991	0.5467714541642592	0.7518167834677949	0.7306945849358216	0.7316339112043175	0.7674006606000727	0.7696133984758661	0.800562004737876
SRR1770797	0.5514454843826043	0.5612523655215033	0	0.5558396732599548	0.5609836047815732	0.5926633124433756	0.7065880332162712	0.7220049953313705	0.7163508516912419	0.7589784702187837	0.7571431605341216	0.7877696193813938
SRR1770798	0.5416377298492702	0.5554202873911034	0.5558396732599548	0	0.573602992452841	0.5785490749760002	0.7340693967658595	0.711548506231756	0.7253576010417718	0.7570535678888451	0.7729175806730938	0.7934515533349894
SRR1770804	0.5690047815100506	0.5904631344677991	0.5609836047815732	0.573602992452841	0	0.5918099843243048	0.7323897203793679	0.7325582485235105	0.7207040678594684	0.7699636290931573	0.7919202942569827	0.8103722515029674
SRR1770805	0.5726121921025624	0.5467714541642592	0.5926633124433756	0.5785490749760002	0.5918099843243048	0	0.7376515266856905	0.7231796924382614	0.7271970475306908	0.7694395373388414	0.7837699199445747	0.8117279067626143
SRR1770806	0.7315855926500134	0.7518167834677949	0.7065880332162712	0.7340693967658595	0.7323897203793679	0.7376515266856905	0	0.6394982869454287	0.6295547753284529	0.6859234037830085	0.7338650840365961	0.7593459304716207
SRR1770809	0.7296118069236879	0.7306945849358216	0.7220049953313705	0.711548506231756	0.7325582485235105	0.7231796924382614	0.6394982869454287	0	0.6246204742187372	0.6717215810540543	0.723513884669426	0.7568970140207758
SRR1770812	0.7274430624192924	0.7316339112043175	0.7163508516912419	0.7253576010417718	0.7207040678594684	0.7271970475306908	0.6295547753284529	0.6246204742187372	0	0.6356493395086258	0.6986194371621093	0.7212591494412007
SRR1770815	0.7618543347648644	0.7674006606000727	0.7589784702187837	0.7570535678888451	0.7699636290931573	0.7694395373388414	0.6859234037830085	0.6717215810540543	0.6356493395086258	0	0.6636042640315237	0.7027897046546858
SRR1770818	0.7859023922949027	0.7696133984758661	0.7571431605341216	0.7729175806730938	0.7919202942569827	0.7837699199445747	0.7338650840365961	0.723513884669426	0.6986194371621093	0.6636042640315237	0	0.66808891080455
SRR1770820	0.8035700684762104	0.800562004737876	0.7877696193813938	0.7934515533349894	0.8103722515029674	0.8117279067626143	0.7593459304716207	0.7568970140207758	0.7212591494412007	0.7027897046546858	0.66808891080455	0
