	SRR1770793	SRR1770794	SRR1770797	SRR1770798	SRR1770804	SRR1770805	SRR1770806	SRR1770809	SRR1770812	SRR1770815	SRR1770818	SRR1770820
SRR1770793	0	0.08372865209459321	0.1016970898221311	0.1021311400560032	0.08958591481177544	0.1338479383816336	0.3101286546402884	0.2444885857413044	0.3302493941488778	0.2998662839278934	0.3433839453239373	0.3460786529450681
SRR1770794	0.08372865209459321	0	0.1111208484248754	0.09402067367118258	0.1234136794101039	0.1242853229981496	0.3132277092284147	0.273921696444798	0.3486901184342819	0.315070544184666	0.348844649082836	0.3510249252713697
SRR1770797	0.1016970898221311	0.1111208484248754	0	0.08043641009267011	0.1111581809077837	0.07943850348802704	0.2915386255601232	0.2792033846670953	0.3608148010802573	0.3281969527639334	0.374202071907251	0.3708853245804224
SRR1770798	0.1021311400560032	0.09402067367118258	0.08043641009267011	0	0.09455243267340999	0.08795902657941121	0.327876484196355	0.2879335588503062	0.3606761583607956	0.3272819281875386	0.3660531290378316	0.3573358512309625
SRR1770804	0.08958591481177544	0.1234136794101039	0.1111581809077837	0.09455243267340999	0	0.1300836140654455	0.3322948167310156	0.2575352191234772	0.3192545818929463	0.2913769852674661	0.3318820818646472	0.3388110669891005
SRR1770805	0.1338479383816336	0.1242853229981496	0.07943850348802704	0.08795902657941121	0.1300836140654455	0	0.299852554505307	0.2900452919176202	0.3649331100349174	0.3278246580274658	0.3795099582833604	0.3725239585918066
SRR1770806	0.3101286546402884	0.3132277092284147	0.2915386255601232	0.327876484196355	0.3322948167310156	0.299852554505307	0	0.1937902179398915	0.2096243372671776	0.2967016909960299	0.3789094134644946	0.3976627261734095
SRR1770809	0.2444885857413044	0.273921696444798	0.2792033846670953	0.2879335588503062	0.2575352191234772	0.2900452919176202	0.1937902179398915	0	0.1884847833611508	0.244622914539288	0.3292548943727365	0.3610132910334815
SRR1770812	0.3302493941488778	0.3486901184342819	0.3608148010802573	0.3606761583607956	0.3192545818929463	0.3649331100349174	0.2096243372671776	0.1884847833611508	0	0.1827067652016817	0.2655749542050365	0.3736031473882853
SRR1770815	0.2998662839278934	0.315070544184666	0.3281969527639334	0.3272819281875386	0.2913769852674661	0.3278246580274658	0.2967016909960299	0.244622914539288	0.1827067652016817	0	0.1676824455871596	0.2720324916575433
SRR1770818	0.3433839453239373	0.348844649082836	0.374202071907251	0.3660531290378316	0.3318820818646472	0.3795099582833604	0.3789094134644946	0.3292548943727365	0.2655749542050365	0.1676824455871596	0	0.2071527128743418
SRR1770820	0.3460786529450681	0.3510249252713697	0.3708853245804224	0.3573358512309625	0.3388110669891005	0.3725239585918066	0.3976627261734095	0.3610132910334815	0.3736031473882853	0.2720324916575433	0.2071527128743418	0
