sample-id	input	filtered	percentage of input passed filter	denoised	merged	percentage of input merged	non-chimeric	percentage of input non-chimeric
#q2:types	numeric	numeric	numeric	numeric	numeric	numeric	numeric	numeric
SRR1770793	46286	44711	96.6	42294	27381	59.16	24889	53.77
SRR1770794	38683	36706	94.89	34769	21227	54.87	19207	49.65
SRR1770797	46379	44536	96.03	42179	28237	60.88	26248	56.59
SRR1770798	55210	51551	93.37	49201	33001	59.77	29304	53.08
SRR1770804	46725	44826	95.94	42477	27414	58.67	24261	51.92
SRR1770805	22671	21538	95	20058	13292	58.63	12788	56.41
SRR1770806	32428	30404	93.76	28315	17474	53.89	16845	51.95
SRR1770809	25195	24189	96.01	22306	12900	51.2	12358	49.05
SRR1770812	42177	40221	95.36	37554	22263	52.78	21563	51.13
SRR1770815	24037	22944	95.45	21108	13390	55.71	13171	54.79
SRR1770818	23070	21614	93.69	19858	11754	50.95	11413	49.47
SRR1770820	29925	28780	96.17	26736	17610	58.85	17128	57.24
